title,price,rating,review
,"₹27,999",4.5,134 Ratings & 9 Reviews
,"₹11,999",4.2,"17,410 Ratings & 2,057 Reviews"
,"₹11,999",4.2,"17,410 Ratings & 2,057 Reviews"
,"₹5,999",4.2,"1,02,169 Ratings & 5,887 Reviews"
,"₹11,999",4.2,"17,410 Ratings & 2,057 Reviews"
,"₹5,999",4.2,"1,11,544 Ratings & 6,951 Reviews"
,"₹5,999",4.1,"8,098 Ratings & 450 Reviews"
,"₹6,499",4.2,"1,24,628 Ratings & 7,639 Reviews"
,"₹5,499",4,"1,94,420 Ratings & 10,923 Reviews"
,"₹8,999",4.4,"1,08,195 Ratings & 4,995 Reviews"
,"₹6,499",4.2,"1,24,628 Ratings & 7,639 Reviews"
,"₹5,999",4.2,"1,11,544 Ratings & 6,951 Reviews"
,"₹9,499",4.3,"95,871 Ratings & 5,239 Reviews"
,"₹9,199",4.4,"1,08,195 Ratings & 4,995 Reviews"
,"₹8,999",4.4,"1,08,195 Ratings & 4,995 Reviews"
,"₹67,999",4.6,"18,061 Ratings & 1,233 Reviews"
,"₹8,499",4.3,"1,803 Ratings & 136 Reviews"
,"₹8,499",4.3,"1,803 Ratings & 136 Reviews"
,"₹8,499",4.3,"1,803 Ratings & 136 Reviews"
,"₹5,499",4,"1,94,420 Ratings & 10,923 Reviews"
,"₹13,999",4.2,"73,641 Ratings & 7,325 Reviews"
,"₹6,999",4.3,"8,971 Ratings & 737 Reviews"
,"₹6,999",4.3,"8,971 Ratings & 737 Reviews"
,"₹6,999",4.3,"8,971 Ratings & 737 Reviews"
