title,price,rating,review
"Nothing Phone (2a) 5G (Black, 256 GB) (12 GB RAM)","27,999",4.5,134 Ratings - 9 Reviews
"Motorola G34 5G (Ocean Green, 128 GB) (8 GB RAM)","11,999",4.2,"17,410 Ratings - 2,057 Reviews"
"Motorola G34 5G (Ice Blue, 128 GB) (8 GB RAM)","11,999",4.2,"17,410 Ratings - 2,057 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB) (4 GB RAM)","5,999",4.2,"1,02,169 Ratings - 5,887 Reviews"
"Motorola G34 5G (Charcoal Black, 128 GB) (8 GB RAM)","11,999",4.2,"17,410 Ratings - 2,057 Reviews"
"POCO C55 (Power Black, 64 GB) (4 GB RAM)","5,999",4.2,"1,11,544 Ratings - 6,951 Reviews"
"POCO C51 (Royal Blue, 128 GB) (6 GB RAM)","5,999",4.1,"8,098 Ratings - 450 Reviews"
"POCO C55 (Power Black, 128 GB) (6 GB RAM)","6,499",4.2,"1,24,628 Ratings - 7,639 Reviews"
"POCO C51 (Power Black, 64 GB) (4 GB RAM)","5,499",4,"1,94,420 Ratings - 10,923 Reviews"
"realme C53 (Champion Black, 64 GB) (6 GB RAM)","8,999",4.4,"1,08,195 Ratings - 4,995 Reviews"
"POCO C55 (Cool Blue, 128 GB) (6 GB RAM)","6,499",4.2,"1,24,628 Ratings - 7,639 Reviews"
"POCO C55 (Forest Green, 64 GB) (4 GB RAM)","5,999",4.2,"1,11,544 Ratings - 6,951 Reviews"
"REDMI 12 (Jade Black, 128 GB) (4 GB RAM)","9,499",4.3,"95,871 Ratings - 5,239 Reviews"
"realme C53 (Champion Gold, 128 GB) (6 GB RAM)","9,199",4.4,"1,08,195 Ratings - 4,995 Reviews"
"realme C53 (Champion Gold, 64 GB) (6 GB RAM)","8,999",4.4,"1,08,195 Ratings - 4,995 Reviews"
"Apple iPhone 15 (Blue, 128 GB)","67,999",4.6,"18,061 Ratings - 1,233 Reviews"
"Infinix SMART 8 (Timber Black, 128 GB) (8 GB RAM)","8,499",4.3,"1,803 Ratings - 136 Reviews"
"Infinix SMART 8 (Shiny Gold, 128 GB) (8 GB RAM)","8,499",4.3,"1,803 Ratings - 136 Reviews"
"Infinix SMART 8 (Galaxy White, 128 GB) (8 GB RAM)","8,499",4.3,"1,803 Ratings - 136 Reviews"
"POCO C51 (Royal Blue, 64 GB) (4 GB RAM)","5,499",4,"1,94,420 Ratings - 10,923 Reviews"
"Motorola g54 5G (Mint Green, 128 GB) (8 GB RAM)","13,999",4.2,"73,641 Ratings - 7,325 Reviews"
"Infinix SMART 8 (Shiny Gold, 64 GB) (4 GB RAM)","6,999",4.3,"8,971 Ratings - 737 Reviews"
"Infinix SMART 8 (Galaxy White, 64 GB) (4 GB RAM)","6,999",4.3,"8,971 Ratings - 737 Reviews"
"Infinix SMART 8 (Rainbow Blue, 64 GB) (4 GB RAM)","6,999",4.3,"8,971 Ratings - 737 Reviews"
"Infinix SMART 8 (Timber Black, 64 GB) (4 GB RAM)","6,999",4.3,"8,971 Ratings - 737 Reviews"
"Motorola g54 5G (Midnight Blue, 128 GB) (8 GB RAM)","13,999",4.2,"73,641 Ratings - 7,325 Reviews"
"Nothing Phone (2a) 5G (Black, 256 GB) (12 GB RAM)","27,999",4.5,134 Ratings - 9 Reviews
"vivo T2x 5G (Black Gladiator, 128 GB) (6 GB RAM)","12,999",4.4,"3,67,897 Ratings - 20,753 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB) (6 GB RAM)","12,999",4.4,"3,67,897 Ratings - 20,753 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB) (6 GB RAM)","12,999",4.4,"3,67,897 Ratings - 20,753 Reviews"
"vivo T2x 5G (Sunstone Orange, 128 GB) (6 GB RAM)","12,999",4.4,"3,67,897 Ratings - 20,753 Reviews"
"vivo T2x 5G (Marine Blue, 128 GB) (6 GB RAM)","12,999",4.4,"3,67,897 Ratings - 20,753 Reviews"
"POCO C55 (Forest Green, 128 GB) (6 GB RAM)","6,499",4.2,"1,24,628 Ratings - 7,639 Reviews"
"POCO C51 (Power Black, 128 GB) (6 GB RAM)","5,999",4.1,"8,098 Ratings - 450 Reviews"
"REDMI 13C (Stardust Black, 128 GB) (4 GB RAM)","7,799",4.3,"2,902 Ratings - 197 Reviews"
"vivo T2x 5G (Marine Blue, 128 GB) (8 GB RAM)","14,999",4.3,"65,326 Ratings - 3,956 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB) (8 GB RAM)","14,999",4.3,"65,326 Ratings - 3,956 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB) (4 GB RAM)","11,999",4.4,"1,62,139 Ratings - 8,680 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB) (4 GB RAM)","11,999",4.4,"1,62,139 Ratings - 8,680 Reviews"
"vivo T2x 5G (Marine Blue, 128 GB) (4 GB RAM)","11,999",4.4,"1,62,139 Ratings - 8,680 Reviews"
"Motorola g54 5G (Midnight Blue, 256 GB) (12 GB RAM)","15,999",4.2,"65,509 Ratings - 6,221 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB) (8 GB RAM)","14,999",4.3,"65,326 Ratings - 3,956 Reviews"
"REDMI 13C (Starfrost White, 128 GB) (4 GB RAM)","7,799",4.3,"2,902 Ratings - 197 Reviews"
"Motorola e13 (Little Boy Blue, 128 GB) (8 GB RAM)","7,499",4.1,"30,137 Ratings - 1,857 Reviews"
"Motorola G34 5G (Ocean Green, 128 GB) (4 GB RAM)","10,999",4.2,"15,185 Ratings - 1,600 Reviews"
"Infinix SMART 8 (Rainbow Blue, 128 GB) (8 GB RAM)","8,499",4.3,"1,803 Ratings - 136 Reviews"
"POCO M6 5G (Orion Blue, 128 GB) (6 GB RAM)","10,499",4.3,"9,022 Ratings - 581 Reviews"
"REDMI A2 (Classic Black, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"realme C53 (Champion Gold, 128 GB) (4 GB RAM)","8,999",4.1,"19,930 Ratings - 1,416 Reviews"
"Motorola g54 5G (Pearl Blue, 128 GB) (8 GB RAM)","13,999",4.2,"73,641 Ratings - 7,325 Reviews"
"Nothing Phone (2a) 5G (Black, 256 GB) (12 GB RAM)","27,999",4.5,134 Ratings - 9 Reviews
"REDMI A2 (Classic Black, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"Motorola e13 (Cosmic Black, 128 GB) (8 GB RAM)","7,499",4.1,"30,137 Ratings - 1,857 Reviews"
"REDMI 13C (Starshine Green, 128 GB) (4 GB RAM)","7,799",4.3,"2,902 Ratings - 197 Reviews"
"REDMI A2 (Aqua Blue, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"POCO M6 5G (Galactic Black, 128 GB) (6 GB RAM)","10,499",4.3,"9,022 Ratings - 581 Reviews"
"POCO M6 Pro 5G (Forest Green, 256 GB) (8 GB RAM)","12,999",4.2,"9,420 Ratings - 835 Reviews"
