,title,price,rating,review,"('user_rating_count', 'user_review_count')",user_rating_count,user_review_count
0,"Nothing Phone (2a) 5G (Black, 256 GB)(12 GB RAM)","27,999",4.5,134 Ratings9 Reviews,134 Ratings9 Reviews,134 Ratings,9 Reviews
1,"Motorola G34 5G (Ocean Green, 128 GB)(8 GB RAM)","11,999",4.2,"17,410 Ratings2,057 Reviews","17,410 Ratings2,057 Reviews","17,410 Ratings","2,057 Reviews"
2,"Motorola G34 5G (Ice Blue, 128 GB)(8 GB RAM)","11,999",4.2,"17,410 Ratings2,057 Reviews","17,410 Ratings2,057 Reviews","17,410 Ratings","2,057 Reviews"
3,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)(4 GB RAM)","5,999",4.2,"1,02,169 Ratings5,887 Reviews","1,02,169 Ratings5,887 Reviews","1,02,169 Ratings","5,887 Reviews"
4,"Motorola G34 5G (Charcoal Black, 128 GB)(8 GB RAM)","11,999",4.2,"17,410 Ratings2,057 Reviews","17,410 Ratings2,057 Reviews","17,410 Ratings","2,057 Reviews"
5,"POCO C55 (Power Black, 64 GB)(4 GB RAM)","5,999",4.2,"1,11,544 Ratings6,951 Reviews","1,11,544 Ratings6,951 Reviews","1,11,544 Ratings","6,951 Reviews"
6,"POCO C51 (Royal Blue, 128 GB)(6 GB RAM)","5,999",4.1,"8,098 Ratings450 Reviews","8,098 Ratings450 Reviews","8,098 Ratings",450 Reviews
7,"POCO C55 (Power Black, 128 GB)(6 GB RAM)","6,499",4.2,"1,24,628 Ratings7,639 Reviews","1,24,628 Ratings7,639 Reviews","1,24,628 Ratings","7,639 Reviews"
8,"POCO C51 (Power Black, 64 GB)(4 GB RAM)","5,499",4,"1,94,420 Ratings10,923 Reviews","1,94,420 Ratings10,923 Reviews","1,94,420 Ratings","10,923 Reviews"
9,"realme C53 (Champion Black, 64 GB)(6 GB RAM)","8,999",4.4,"1,08,195 Ratings4,995 Reviews","1,08,195 Ratings4,995 Reviews","1,08,195 Ratings","4,995 Reviews"
10,"POCO C55 (Cool Blue, 128 GB)(6 GB RAM)","6,499",4.2,"1,24,628 Ratings7,639 Reviews","1,24,628 Ratings7,639 Reviews","1,24,628 Ratings","7,639 Reviews"
11,"POCO C55 (Forest Green, 64 GB)(4 GB RAM)","5,999",4.2,"1,11,544 Ratings6,951 Reviews","1,11,544 Ratings6,951 Reviews","1,11,544 Ratings","6,951 Reviews"
12,"REDMI 12 (Jade Black, 128 GB)(4 GB RAM)","9,499",4.3,"95,871 Ratings5,239 Reviews","95,871 Ratings5,239 Reviews","95,871 Ratings","5,239 Reviews"
13,"realme C53 (Champion Gold, 128 GB)(6 GB RAM)","9,199",4.4,"1,08,195 Ratings4,995 Reviews","1,08,195 Ratings4,995 Reviews","1,08,195 Ratings","4,995 Reviews"
14,"realme C53 (Champion Gold, 64 GB)(6 GB RAM)","8,999",4.4,"1,08,195 Ratings4,995 Reviews","1,08,195 Ratings4,995 Reviews","1,08,195 Ratings","4,995 Reviews"
15,"Apple iPhone 15 (Blue, 128 GB)","67,999",4.6,"18,061 Ratings1,233 Reviews","18,061 Ratings1,233 Reviews","18,061 Ratings","1,233 Reviews"
16,"Infinix SMART 8 (Timber Black, 128 GB)(8 GB RAM)","8,499",4.3,"1,803 Ratings136 Reviews","1,803 Ratings136 Reviews","1,803 Ratings",136 Reviews
17,"Infinix SMART 8 (Shiny Gold, 128 GB)(8 GB RAM)","8,499",4.3,"1,803 Ratings136 Reviews","1,803 Ratings136 Reviews","1,803 Ratings",136 Reviews
18,"Infinix SMART 8 (Galaxy White, 128 GB)(8 GB RAM)","8,499",4.3,"1,803 Ratings136 Reviews","1,803 Ratings136 Reviews","1,803 Ratings",136 Reviews
19,"POCO C51 (Royal Blue, 64 GB)(4 GB RAM)","5,499",4,"1,94,420 Ratings10,923 Reviews","1,94,420 Ratings10,923 Reviews","1,94,420 Ratings","10,923 Reviews"
20,"Motorola g54 5G (Mint Green, 128 GB)(8 GB RAM)","13,999",4.2,"73,641 Ratings7,325 Reviews","73,641 Ratings7,325 Reviews","73,641 Ratings","7,325 Reviews"
